
---------- Begin Simulation Statistics ----------
simSeconds                                   1.820284                       # Number of seconds simulated (Second)
simTicks                                 1820283557004                       # Number of ticks simulated (Tick)
finalTick                                1820283557004                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   5104.06                       # Real time elapsed on the host (Second)
hostTickRate                                356634374                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1472088                       # Number of bytes of host memory used (Byte)
simInsts                                    362084878                       # Number of instructions simulated (Count)
simOps                                      415116913                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    70940                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      81331                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 1820283557004                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       267272391                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      278494102                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 1998342                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     279465150                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                156771                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            20274285                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         15421364                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved             180291                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          260899863                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.071159                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.795501                       # Number of insts issued each cycle (Count)
system.l3.tags.avgOccs::cpu3.mmu.dtb_walker     0.000091                       # Average percentage of cache occupancy ((Ratio/Tick))
system.l3.tags.avgOccs::cpu3.inst            0.006278                       # Average percentage of cache occupancy ((Ratio/Tick))
system.l3.tags.avgOccs::cpu3.data            0.014037                       # Average percentage of cache occupancy ((Ratio/Tick))
system.l3.tags.avgOccs::total                0.988363                       # Average percentage of cache occupancy ((Ratio/Tick))
system.l3.tags.occupanciesTaskId::1023            436                       # Occupied blocks per task id (Count)
system.l3.tags.occupanciesTaskId::1024         258903                       # Occupied blocks per task id (Count)
system.l3.tags.ageTaskId_1023::4                  436                       # Occupied blocks per task id, per block age (Count)
system.l3.tags.ageTaskId_1024::3                    7                       # Occupied blocks per task id, per block age (Count)
system.l3.tags.ageTaskId_1024::4               258896                       # Occupied blocks per task id, per block age (Count)
system.l3.tags.ratioOccsTaskId::1023         0.001663                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.l3.tags.ratioOccsTaskId::1024         0.987637                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.l3.tags.tagAccesses                   25061007                       # Number of tag accesses (Count)
system.l3.tags.dataAccesses                  25061007                       # Number of data accesses (Count)
system.l3.tags.power_state.pwrStateResidencyTicks::UNDEFINED 1820283557004                       # Cumulative time (in ticks) in various power states (Tick)
system.mem_ctrls.avgPriority_writebacks::samples    308439.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrls.avgPriority_cpu0.mmu.dtb_walker::samples       328.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrls.avgPriority_cpu0.mmu.itb_walker::samples         3.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrls.avgPriority_cpu0.inst::samples     19557.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrls.avgPriority_cpu0.data::samples    336023.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrls.avgPriority_cpu1.mmu.dtb_walker::samples        54.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrls.avgPriority_cpu1.mmu.itb_walker::samples         1.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrls.avgPriority_cpu1.inst::samples      2119.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrls.avgPriority_cpu1.data::samples      9754.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrls.avgPriority_cpu2.mmu.dtb_walker::samples        18.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrls.avgPriority_cpu2.mmu.itb_walker::samples         1.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrls.avgPriority_cpu2.inst::samples       636.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrls.avgPriority_cpu2.data::samples      1978.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrls.avgPriority_cpu3.mmu.dtb_walker::samples        30.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrls.avgPriority_cpu3.inst::samples      2331.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrls.avgPriority_cpu3.data::samples      4788.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrls.avgPriority_pci_ide::samples       120.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrls.priorityMinLatency      0.000000018750                       # per QoS priority minimum request to response latency (Second)
system.mem_ctrls.priorityMaxLatency      0.640004851158                       # per QoS priority maximum request to response latency (Second)
system.mem_ctrls.numReadWriteTurnArounds        14983                       # Number of turnarounds from READ to WRITE (Count)
system.mem_ctrls.numWriteReadTurnArounds        14983                       # Number of turnarounds from WRITE to READ (Count)
system.mem_ctrls.numStayReadState             1411731                       # Number of times bus staying in READ state (Count)
system.mem_ctrls.numStayWriteState             295425                       # Number of times bus staying in WRITE state (Count)
system.mem_ctrls.readReqs                      378619                       # Number of read requests accepted (Count)
system.mem_ctrls.writeReqs                     310393                       # Number of write requests accepted (Count)
system.mem_ctrls.readBursts                    378619                       # Number of controller read bursts, including those serviced by the write queue (Count)
system.mem_ctrls.writeBursts                   310393                       # Number of controller write bursts, including those merged in the write queue (Count)
system.mem_ctrls.servicedByWrQ                   1017                       # Number of controller read bursts serviced by the write queue (Count)
system.mem_ctrls.mergedWrBursts                  1815                       # Number of controller write bursts merged with an existing one (Count)
system.mem_ctrls.neitherReadNorWriteReqs            0                       # Number of requests that are neither read nor write (Count)
system.mem_ctrls.avgRdQLen                       1.03                       # Average read queue length when enqueuing ((Count/Tick))
system.mem_ctrls.avgWrQLen                      26.65                       # Average write queue length when enqueuing ((Count/Tick))
system.mem_ctrls.numRdRetry                         0                       # Number of times read queue was full causing retry (Count)
system.mem_ctrls.numWrRetry                       483                       # Number of times write queue was full causing retry (Count)
system.mem_ctrls.readPktSize::0                     0                       # Read request sizes (log2) (Count)
system.mem_ctrls.readPktSize::1                     0                       # Read request sizes (log2) (Count)
system.mem_ctrls.readPktSize::2                     0                       # Read request sizes (log2) (Count)
system.mem_ctrls.readPktSize::3                    26                       # Read request sizes (log2) (Count)
system.mem_ctrls.readPktSize::4                     0                       # Read request sizes (log2) (Count)
system.mem_ctrls.readPktSize::5                     0                       # Read request sizes (log2) (Count)
system.mem_ctrls.readPktSize::6                378593                       # Read request sizes (log2) (Count)
system.mem_ctrls.writePktSize::0                    0                       # Write request sizes (log2) (Count)
system.mem_ctrls.writePktSize::1                    0                       # Write request sizes (log2) (Count)
system.mem_ctrls.writePktSize::2                    4                       # Write request sizes (log2) (Count)
system.mem_ctrls.writePktSize::3                 1044                       # Write request sizes (log2) (Count)
system.mem_ctrls.writePktSize::4                    0                       # Write request sizes (log2) (Count)
system.mem_ctrls.writePktSize::5                    0                       # Write request sizes (log2) (Count)
system.mem_ctrls.writePktSize::6               309345                       # Write request sizes (log2) (Count)
system.mem_ctrls.rdQLenPdf::0                  173770                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::1                   85625                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::2                   67411                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::3                   50589                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::4                      85                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::5                      14                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::6                       2                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::7                       2                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::8                       2                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::9                       4                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::10                     24                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::11                     11                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::12                     22                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::13                      6                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::14                      7                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::15                      8                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::16                     17                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::17                      2                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::18                      1                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::19                      0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::20                      0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::21                      0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::22                      0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::23                      0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::24                      0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::25                      0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::26                      0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::27                      0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::28                      0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::29                      0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::30                      0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.rdQLenPdf::31                      0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::0                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::1                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::2                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::3                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::4                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::5                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::6                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::7                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::8                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::9                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::10                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::11                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::12                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::13                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::14                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::15                   4671                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::16                   5094                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::17                   7602                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::18                  10432                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::19                  12022                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::20                  13532                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::21                  14666                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::22                  15522                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::23                  16269                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::24                  16926                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::25                  17651                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::26                  18016                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::27                  18072                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::28                  18986                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::29                  21420                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::30                  18929                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::31                  18604                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::32                  17033                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::33                   1921                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::34                   1645                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::35                   1565                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::36                   1537                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::37                   1560                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::38                   1503                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::39                   1633                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::40                   1563                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::41                   2020                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::42                   1913                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::43                   1929                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::44                   1689                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::45                   1653                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::46                   1953                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::47                   1860                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::48                   1728                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::49                   1495                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::50                   1453                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::51                   1098                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::52                    897                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::53                    874                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::54                    936                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::55                    742                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::56                    566                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::57                    624                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::58                    662                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::59                    726                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::60                    752                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::61                   1164                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::62                   1379                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.wrQLenPdf::63                   2076                       # What write queue length does an incoming req see (Count)
system.mem_ctrls.rdPerTurnAround::samples        14983                       # Reads before turning the bus around for writes (Count)
system.mem_ctrls.rdPerTurnAround::mean      25.201161                       # Reads before turning the bus around for writes (Count)
system.mem_ctrls.rdPerTurnAround::stdev   1480.391927                       # Reads before turning the bus around for writes (Count)
system.mem_ctrls.rdPerTurnAround::0-8191        14982     99.99%     99.99% # Reads before turning the bus around for writes (Count)
system.mem_ctrls.rdPerTurnAround::180224-188415            1      0.01%    100.00% # Reads before turning the bus around for writes (Count)
system.mem_ctrls.rdPerTurnAround::total         14983                       # Reads before turning the bus around for writes (Count)
system.mem_ctrls.wrPerTurnAround::samples        14983                       # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::mean      20.593072                       # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::gmean     17.666561                       # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::stdev     43.137986                       # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::0-31          14628     97.63%     97.63% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::32-63            98      0.65%     98.28% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::64-95           160      1.07%     99.35% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::96-127            9      0.06%     99.41% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::128-159            3      0.02%     99.43% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::160-191            4      0.03%     99.46% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::192-223           10      0.07%     99.53% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::224-255            6      0.04%     99.57% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::256-287           13      0.09%     99.65% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::288-319            3      0.02%     99.67% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::320-351            4      0.03%     99.70% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::352-383            1      0.01%     99.71% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::384-415            2      0.01%     99.72% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::416-447            3      0.02%     99.74% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::448-479            5      0.03%     99.77% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::480-511            5      0.03%     99.81% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::512-543            2      0.01%     99.82% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::576-607            1      0.01%     99.83% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::640-671            2      0.01%     99.84% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::704-735            1      0.01%     99.85% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::736-767            3      0.02%     99.87% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::800-831            1      0.01%     99.87% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::832-863            3      0.02%     99.89% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::896-927            1      0.01%     99.90% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::928-959            3      0.02%     99.92% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::1024-1055           12      0.08%    100.00% # Writes before turning the bus around for reads (Count)
system.mem_ctrls.wrPerTurnAround::total         14983                       # Writes before turning the bus around for reads (Count)
system.mem_ctrls.bytesReadWrQ                   65088                       # Total number of bytes read from write queue (Byte)
system.mem_ctrls.bytesReadSys                24230160                       # Total read bytes from the system interface side (Byte)
system.mem_ctrls.bytesWrittenSys             19806448                       # Total written bytes from the system interface side (Byte)
system.mem_ctrls.avgRdBWSys              13311200.83284187                       # Average system read bandwidth in Byte/s ((Byte/Second))
system.mem_ctrls.avgWrBWSys              10880968.47537281                       # Average system write bandwidth in Byte/s ((Byte/Second))
system.mem_ctrls.totGap                  1815954782832                       # Total gap between requests (Tick)
system.mem_ctrls.avgGap                    2635592.39                       # Average gap between requests ((Tick/Count))
system.mem_ctrls.requestorReadBytes::cpu0.mmu.dtb_walker        20992                       # Per-requestor bytes read from memory (Byte)
system.mem_ctrls.requestorReadBytes::cpu0.mmu.itb_walker          192                       # Per-requestor bytes read from memory (Byte)
system.mem_ctrls.requestorReadBytes::cpu0.inst      1251648                       # Per-requestor bytes read from memory (Byte)
system.mem_ctrls.requestorReadBytes::cpu0.data     21496720                       # Per-requestor bytes read from memory (Byte)
system.mem_ctrls.requestorReadBytes::cpu1.mmu.dtb_walker         3456                       # Per-requestor bytes read from memory (Byte)
system.mem_ctrls.requestorReadBytes::cpu1.mmu.itb_walker           64                       # Per-requestor bytes read from memory (Byte)
system.mem_ctrls.requestorReadBytes::cpu1.inst       135616                       # Per-requestor bytes read from memory (Byte)
system.mem_ctrls.requestorReadBytes::cpu1.data       624024                       # Per-requestor bytes read from memory (Byte)
system.mem_ctrls.requestorReadBytes::cpu2.mmu.dtb_walker         1152                       # Per-requestor bytes read from memory (Byte)
system.mem_ctrls.requestorReadBytes::cpu2.mmu.itb_walker           64                       # Per-requestor bytes read from memory (Byte)
system.mem_ctrls.requestorReadBytes::cpu2.inst        40704                       # Per-requestor bytes read from memory (Byte)
system.mem_ctrls.requestorReadBytes::cpu2.data       126240                       # Per-requestor bytes read from memory (Byte)
system.mem_ctrls.requestorReadBytes::cpu3.mmu.dtb_walker         1920                       # Per-requestor bytes read from memory (Byte)
system.mem_ctrls.requestorReadBytes::cpu3.inst       149184                       # Per-requestor bytes read from memory (Byte)
system.mem_ctrls.requestorReadBytes::cpu3.data       306144                       # Per-requestor bytes read from memory (Byte)
system.mem_ctrls.requestorReadBytes::pci_ide         7680                       # Per-requestor bytes read from memory (Byte)
system.mem_ctrls.requestorWriteBytes::writebacks     19738048                       # Per-requestor bytes write to memory (Byte)
system.mem_ctrls.requestorWriteBytes::cpu0.data         1076                       # Per-requestor bytes write to memory (Byte)
system.mem_ctrls.requestorWriteBytes::cpu1.data            8                       # Per-requestor bytes write to memory (Byte)
system.mem_ctrls.requestorWriteBytes::cpu2.data           12                       # Per-requestor bytes write to memory (Byte)
system.mem_ctrls.requestorWriteBytes::cpu3.data            8                       # Per-requestor bytes write to memory (Byte)
system.mem_ctrls.requestorReadRate::cpu0.mmu.dtb_walker 11532.269200162791                       # Per-requestor bytes read from memory rate ((Byte/Second))
system.mem_ctrls.requestorReadRate::cpu0.mmu.itb_walker 105.478071952708                       # Per-requestor bytes read from memory rate ((Byte/Second))
system.mem_ctrls.requestorReadRate::cpu0.inst 687611.551059706486                       # Per-requestor bytes read from memory rate ((Byte/Second))
system.mem_ctrls.requestorReadRate::cpu0.data 11809544.681808473542                       # Per-requestor bytes read from memory rate ((Byte/Second))
system.mem_ctrls.requestorReadRate::cpu1.mmu.dtb_walker 1898.605295148752                       # Per-requestor bytes read from memory rate ((Byte/Second))
system.mem_ctrls.requestorReadRate::cpu1.mmu.itb_walker 35.159357317569                       # Per-requestor bytes read from memory rate ((Byte/Second))
system.mem_ctrls.requestorReadRate::cpu1.inst 74502.678155929738                       # Per-requestor bytes read from memory rate ((Byte/Second))
system.mem_ctrls.requestorReadRate::cpu1.data 342816.918605296582                       # Per-requestor bytes read from memory rate ((Byte/Second))
system.mem_ctrls.requestorReadRate::cpu2.mmu.dtb_walker 632.868431716251                       # Per-requestor bytes read from memory rate ((Byte/Second))
system.mem_ctrls.requestorReadRate::cpu2.mmu.itb_walker 35.159357317569                       # Per-requestor bytes read from memory rate ((Byte/Second))
system.mem_ctrls.requestorReadRate::cpu2.inst 22361.351253974193                       # Per-requestor bytes read from memory rate ((Byte/Second))
system.mem_ctrls.requestorReadRate::cpu2.data 69351.832308905810                       # Per-requestor bytes read from memory rate ((Byte/Second))
system.mem_ctrls.requestorReadRate::cpu3.mmu.dtb_walker 1054.780719527085                       # Per-requestor bytes read from memory rate ((Byte/Second))
system.mem_ctrls.requestorReadRate::cpu3.inst 81956.461907254474                       # Per-requestor bytes read from memory rate ((Byte/Second))
system.mem_ctrls.requestorReadRate::cpu3.data 168184.785728593648                       # Per-requestor bytes read from memory rate ((Byte/Second))
system.mem_ctrls.requestorReadRate::pci_ide 4219.122878108338                       # Per-requestor bytes read from memory rate ((Byte/Second))
system.mem_ctrls.requestorWriteRate::writebacks 10843391.912239652127                       # Per-requestor bytes write to memory rate ((Byte/Second))
system.mem_ctrls.requestorWriteRate::cpu0.data 591.116694901637                       # Per-requestor bytes write to memory rate ((Byte/Second))
system.mem_ctrls.requestorWriteRate::cpu1.data 4.394919664696                       # Per-requestor bytes write to memory rate ((Byte/Second))
system.mem_ctrls.requestorWriteRate::cpu2.data 6.592379497044                       # Per-requestor bytes write to memory rate ((Byte/Second))
system.mem_ctrls.requestorWriteRate::cpu3.data 4.394919664696                       # Per-requestor bytes write to memory rate ((Byte/Second))
system.mem_ctrls.requestorReadAccesses::cpu0.mmu.dtb_walker          328                       # Per-requestor read serviced memory accesses (Count)
system.mem_ctrls.requestorReadAccesses::cpu0.mmu.itb_walker            3                       # Per-requestor read serviced memory accesses (Count)
system.mem_ctrls.requestorReadAccesses::cpu0.inst        19557                       # Per-requestor read serviced memory accesses (Count)
system.mem_ctrls.requestorReadAccesses::cpu0.data       336872                       # Per-requestor read serviced memory accesses (Count)
system.mem_ctrls.requestorReadAccesses::cpu1.mmu.dtb_walker           54                       # Per-requestor read serviced memory accesses (Count)
system.mem_ctrls.requestorReadAccesses::cpu1.mmu.itb_walker            1                       # Per-requestor read serviced memory accesses (Count)
system.mem_ctrls.requestorReadAccesses::cpu1.inst         2119                       # Per-requestor read serviced memory accesses (Count)
system.mem_ctrls.requestorReadAccesses::cpu1.data         9776                       # Per-requestor read serviced memory accesses (Count)
system.mem_ctrls.requestorReadAccesses::cpu2.mmu.dtb_walker           18                       # Per-requestor read serviced memory accesses (Count)
system.mem_ctrls.requestorReadAccesses::cpu2.mmu.itb_walker            1                       # Per-requestor read serviced memory accesses (Count)
system.mem_ctrls.requestorReadAccesses::cpu2.inst          636                       # Per-requestor read serviced memory accesses (Count)
system.mem_ctrls.requestorReadAccesses::cpu2.data         1980                       # Per-requestor read serviced memory accesses (Count)
system.mem_ctrls.requestorReadAccesses::cpu3.mmu.dtb_walker           30                       # Per-requestor read serviced memory accesses (Count)
system.mem_ctrls.requestorReadAccesses::cpu3.inst         2331                       # Per-requestor read serviced memory accesses (Count)
system.mem_ctrls.requestorReadAccesses::cpu3.data         4793                       # Per-requestor read serviced memory accesses (Count)
system.mem_ctrls.requestorReadAccesses::pci_ide          120                       # Per-requestor read serviced memory accesses (Count)
system.mem_ctrls.requestorWriteAccesses::writebacks       309345                       # Per-requestor write serviced memory accesses (Count)
system.mem_ctrls.requestorWriteAccesses::cpu0.data         1042                       # Per-requestor write serviced memory accesses (Count)
system.mem_ctrls.requestorWriteAccesses::cpu1.data            2                       # Per-requestor write serviced memory accesses (Count)
system.mem_ctrls.requestorWriteAccesses::cpu2.data            2                       # Per-requestor write serviced memory accesses (Count)
system.mem_ctrls.requestorWriteAccesses::cpu3.data            2                       # Per-requestor write serviced memory accesses (Count)
